id,gender,city,year,group_size,tom,bumo,bumo_previous,most_favourite,age,age_group,age_sub_group,mpi,mpi_detail,mpi_mean,occupation,occupation_group,cluster,most_favourite_group,cluster_name
434898,Male,Hải Phòng,2018,2.0,Other 1,Other 1,Refuse,Other 1,36.0,30 - 39,35 - 39,9 - 14.9, 9  - 11.99  ,10499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,3,Other,Quality-First Consumers
435036,Female,Hà Nội,2018,3.0,Other 1,Other 1,Cộng Cà Phê,Other 1,24.0,20 - 29,20 - 24,< 4.5, 3  - 4.49  ,3749.0,"Semi-skilled labor (salesperson, waiter, photographer)",Service & Agriculture,2,Other,Experience Enthusiasts
435039,Male,Hà Nội,2018,2.0,Cộng Cà Phê,Cộng Cà Phê,Highlands Coffee,Cộng Cà Phê,24.0,20 - 29,20 - 24,9 - 14.9, 9  - 11.99  ,10499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,3,Major Chains,Quality-First Consumers
435040,Female,Hà Nội,2018,5.0,The Coffee House,The Coffee House,Refuse,The Coffee House,28.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
435041,Female,Hà Nội,2018,4.0,Other 1,Other 1,Refuse,Other 1,22.0,20 - 29,20 - 24,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
435042,Female,Hà Nội,2018,5.0,Highlands Coffee,Highlands Coffee,Trung Nguyên,Highlands Coffee,28.0,20 - 29,25 - 29,9 - 14.9, 9  - 11.99  ,10499.0,Officer - Staff level,Office Worker,3,Major Chains,Quality-First Consumers
435043,Male,Hà Nội,2018,6.0,Other 1,Other 1,Refuse,Other 1,28.0,20 - 29,25 - 29,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
435044,Female,Hà Nội,2018,4.0,Passio,Passio,Refuse,Passio,23.0,20 - 29,20 - 24,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
435051,Male,Hải Phòng,2018,3.0,Other 1,Other 1,Refuse,Other 2,38.0,30 - 39,35 - 39,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,1,Other,Social Seekers
435052,Male,Hải Phòng,2018,2.0,Other 1,Other 1,Refuse,Other 1,48.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,0,Other,Routine Consumers
435053,Male,Hải Phòng,2018,3.0,Other 1,Other 1,Refuse,Other 1,46.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Other,Routine Consumers
435054,Male,Hải Phòng,2018,2.0,Other 1,Other 1,Refuse,Other 1,45.0,40 - 60,45+,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Broker/ Service provider with no employee,Self Employed,0,Other,Routine Consumers
435055,Female,Hải Phòng,2018,4.0,Other 1,Other 1,Refuse,Other 1,48.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,"Semi-skilled labor (salesperson, waiter, photographer)",Service & Agriculture,0,Other,Routine Consumers
435056,Female,Hải Phòng,2018,4.0,Other 1,Other 1,Refuse,Other 1,34.0,30 - 39,30 - 34,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
435057,Female,Hải Phòng,2018,4.0,Other 1,Other 1,Refuse,Other 1,36.0,30 - 39,35 - 39,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
435058,Female,Hải Phòng,2018,3.0,Other 1,Other 1,Refuse,Other 1,49.0,40 - 60,45+,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Broker/ Service provider with no employee,Self Employed,0,Other,Routine Consumers
435059,Male,Hải Phòng,2018,4.0,Other 1,Other 1,Refuse,Other 1,46.0,40 - 60,45+,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,0,Other,Routine Consumers
435060,Male,Hải Phòng,2018,1.0,Other 1,Other 1,Refuse,Other 1,52.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Other,Routine Consumers
435061,Female,Hải Phòng,2018,4.0,Other 1,Other 1,Refuse,Other 1,38.0,30 - 39,35 - 39,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
435083,Female,Hồ Chí Minh,2018,3.0,Street / Half street coffee (including carts),Highlands Coffee,Street / Half street coffee (including carts),Highlands Coffee,20.0,20 - 29,20 - 24,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Major Chains,Experience Enthusiasts
435084,Female,Hồ Chí Minh,2018,3.0,Highlands Coffee,Highlands Coffee,Other 1,Highlands Coffee,28.0,20 - 29,25 - 29,< 4.5, 3  - 4.49  ,3749.0,Officer - Staff level,Office Worker,2,Major Chains,Experience Enthusiasts
435085,Male,Hồ Chí Minh,2018,6.0,Other 1,Other 1,Street / Half street coffee (including carts),Highlands Coffee,38.0,30 - 39,35 - 39,25+, 15  - 19.99  ,17499.0,Officer - Staff level,Office Worker,3,Major Chains,Quality-First Consumers
435106,Male,Hồ Chí Minh,2018,4.0,Phúc Long,Street / Half street coffee (including carts),Trung Nguyên,Phúc Long,18.0,16 - 19,16 - 19,None,Refuse,0.0,Pupil / Student,Student,2,Major Chains,Experience Enthusiasts
435107,Female,Hồ Chí Minh,2018,4.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Trung Nguyên,Trung Nguyên,41.0,40 - 60,40 - 44,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Major Chains,Social Seekers
435108,Female,Hồ Chí Minh,2018,2.0,Highlands Coffee,Phúc Long,Refuse,Phúc Long,16.0,16 - 19,16 - 19,None,Refuse,0.0,Pupil / Student,Student,2,Major Chains,Experience Enthusiasts
435109,Female,Hồ Chí Minh,2018,3.0,Trung Nguyên,Highlands Coffee,Viva Star,Highlands Coffee,28.0,20 - 29,25 - 29,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
435111,Male,Hồ Chí Minh,2018,2.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Trung Nguyên,48.0,40 - 60,45+,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Officer - Staff level,Office Worker,0,Major Chains,Routine Consumers
435140,Male,Hồ Chí Minh,2018,4.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),24.0,20 - 29,20 - 24,4.5 - 8.9, 7.5  - 8.99  ,8249.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Street,Social Seekers
435165,Female,Hà Nội,2018,5.0,Other 1,Other 1,Aha Cafe,Other 1,31.0,30 - 39,30 - 34,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
435166,Female,Hà Nội,2018,4.0,Other 1,Street / Half street coffee (including carts),Highlands Coffee,Highlands Coffee,38.0,30 - 39,35 - 39,9 - 14.9, 9  - 11.99  ,10499.0,Officer - Staff level,Office Worker,3,Major Chains,Quality-First Consumers
435168,Female,Hà Nội,2018,3.0,Aha Cafe,Street / Half street coffee (including carts),The Coffee House,Highlands Coffee,37.0,30 - 39,35 - 39,9 - 14.9, 9  - 11.99  ,10499.0,Officer - Staff level,Office Worker,3,Major Chains,Quality-First Consumers
435169,Female,Hà Nội,2018,5.0,Highlands Coffee,Highlands Coffee,Aha Cafe,Highlands Coffee,25.0,20 - 29,25 - 29,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
435170,Male,Hà Nội,2018,3.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Cộng Cà Phê,Cộng Cà Phê,28.0,20 - 29,25 - 29,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
435214,Female,Nha Trang,2018,3.0,Other 1,Street / Half street coffee (including carts),Refuse,Other 1,44.0,40 - 60,40 - 44,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Other,Routine Consumers
435223,Male,Hải Phòng,2018,5.0,Other 1,Other 1,Refuse,Other 1,19.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
435224,Male,Hải Phòng,2018,2.0,Other 1,Other 1,Refuse,Other 1,49.0,40 - 60,45+,9 - 14.9, 9  - 11.99  ,10499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,0,Other,Routine Consumers
435225,Female,Hải Phòng,2018,5.0,Other 1,Other 2,Refuse,Other 2,44.0,40 - 60,40 - 44,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Other,Routine Consumers
435226,Male,Hải Phòng,2018,4.0,Other 1,Other 2,Refuse,Other 2,52.0,40 - 60,45+,4.5 - 8.9, 7.5  - 8.99  ,8249.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,0,Other,Routine Consumers
435227,Female,Hải Phòng,2018,5.0,Other 1,Other 1,Refuse,Other 1,47.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Other,Routine Consumers
435228,Female,Hải Phòng,2018,3.0,Other 1,Other 1,Refuse,Highlands Coffee,17.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Major Chains,Experience Enthusiasts
435229,Male,Hải Phòng,2018,4.0,Other 1,Other 1,Refuse,Other 1,29.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Semi-skilled labor (salesperson, waiter, photographer)",Service & Agriculture,1,Other,Social Seekers
435230,Female,Hải Phòng,2018,4.0,Other 1,Other 1,Refuse,Other 1,17.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
435231,Female,Hải Phòng,2018,4.0,Other 1,Other 1,Refuse,Other 2,24.0,20 - 29,20 - 24,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
435232,Female,Hải Phòng,2018,3.0,Highlands Coffee,Highlands Coffee,Refuse,Highlands Coffee,37.0,30 - 39,35 - 39,25+, 25  - 29.99  ,27499.0,Lecturer / Teacher,Professional,3,Major Chains,Quality-First Consumers
435233,Male,Hải Phòng,2018,5.0,Other 1,Other 2,Refuse,Other 1,34.0,30 - 39,30 - 34,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
435234,Female,Hải Phòng,2018,4.0,Other 1,Other 1,Refuse,Other 1,36.0,30 - 39,35 - 39,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
435235,Female,Hải Phòng,2018,5.0,Other 1,Other 1,Refuse,Highlands Coffee,29.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Semi-skilled labor (salesperson, waiter, photographer)",Service & Agriculture,1,Major Chains,Social Seekers
435236,Male,Hải Phòng,2018,5.0,Other 1,Other 1,Refuse,Other 1,31.0,30 - 39,30 - 34,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,1,Other,Social Seekers
435237,Male,Hải Phòng,2018,5.0,Other 1,Other 1,Refuse,Other 1,39.0,30 - 39,35 - 39,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,1,Other,Social Seekers
435238,Female,Hải Phòng,2018,4.0,Other 1,Other 1,Refuse,Other 1,33.0,30 - 39,30 - 34,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,1,Other,Social Seekers
435240,Male,Nha Trang,2018,10.0,Street / Half street coffee (including carts),Milano,Street / Half street coffee (including carts),Milano,21.0,20 - 29,20 - 24,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,1,Other,Social Seekers
435268,Female,Hồ Chí Minh,2018,3.0,Other 1,Street / Half street coffee (including carts),Refuse,Other 1,26.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
435300,Male,Nha Trang,2018,5.0,Milano,Milano,Refuse,Milano,25.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
435316,Female,Hồ Chí Minh,2018,3.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),38.0,30 - 39,35 - 39,9 - 14.9, 12  - 14.99  ,13499.0,Officer - Staff level,Office Worker,3,Street,Quality-First Consumers
435322,Female,Nha Trang,2018,4.0,Other 1,Milano,Refuse,Milano,41.0,40 - 60,40 - 44,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Broker/ Service provider with no employee,Self Employed,1,Other,Social Seekers
435324,Female,Đà Nẵng,2018,3.0,Highlands Coffee,Highlands Coffee,Refuse,Highlands Coffee,22.0,20 - 29,20 - 24,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Major Chains,Social Seekers
435382,Male,Hải Phòng,2018,3.0,Other 1,Other 1,Refuse,Starbucks,36.0,30 - 39,35 - 39,9 - 14.9, 9  - 11.99  ,10499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,3,Major Chains,Quality-First Consumers
435383,Male,Hải Phòng,2018,6.0,Highlands Coffee,Highlands Coffee,Refuse,Highlands Coffee,22.0,20 - 29,20 - 24,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Major Chains,Experience Enthusiasts
435480,Female,Nha Trang,2018,3.0,Milano,Milano,Refuse,Milano,38.0,30 - 39,35 - 39,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Housewife,Non-working,1,Other,Social Seekers
435593,Female,Hải Phòng,2018,3.0,Other 1,Other 1,Refuse,Other 1,21.0,20 - 29,20 - 24,< 4.5, 3  - 4.49  ,3749.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
435597,Female,Hải Phòng,2018,3.0,Highlands Coffee,Other 1,Highlands Coffee,Other 1,21.0,20 - 29,20 - 24,< 4.5, 3  - 4.49  ,3749.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
435598,Female,Hải Phòng,2018,4.0,Highlands Coffee,Highlands Coffee,Refuse,Highlands Coffee,22.0,20 - 29,20 - 24,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Major Chains,Experience Enthusiasts
435599,Female,Hải Phòng,2018,5.0,Highlands Coffee,Cộng Cà Phê,Highlands Coffee,Highlands Coffee,34.0,30 - 39,30 - 34,9 - 14.9, 9  - 11.99  ,10499.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,3,Major Chains,Quality-First Consumers
435612,Female,Hà Nội,2018,3.0,Other 1,Other 1,Refuse,Other 1,26.0,20 - 29,25 - 29,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
435613,Female,Hà Nội,2018,4.0,Highlands Coffee,Highlands Coffee,Refuse,Highlands Coffee,33.0,30 - 39,30 - 34,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
435614,Male,Hà Nội,2018,4.0,Other 1,Other 1,Refuse,Other 1,58.0,40 - 60,45+,< 4.5,0 - 2.99  ,1499.0,Retirement,Non-working,0,Other,Routine Consumers
435615,Female,Hà Nội,2018,3.0,Highlands Coffee,Highlands Coffee,Refuse,Highlands Coffee,38.0,30 - 39,35 - 39,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
435630,Female,Hồ Chí Minh,2018,2.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),40.0,40 - 60,40 - 44,< 4.5, 3  - 4.49  ,3749.0,Housewife,Non-working,0,Street,Routine Consumers
435697,Female,Nha Trang,2018,3.0,Highlands Coffee,Milano,Refuse,Milano,25.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Lecturer / Teacher,Professional,1,Other,Social Seekers
435786,Male,Hồ Chí Minh,2018,6.0,Other 1,Street / Half street coffee (including carts),Refuse,Other 1,37.0,30 - 39,35 - 39,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
435828,Female,Nha Trang,2018,4.0,Milano,Other 1,Milano,Other 1,35.0,30 - 39,35 - 39,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
435860,Female,Hồ Chí Minh,2018,3.0,Highlands Coffee,Highlands Coffee,Street / Half street coffee (including carts),Highlands Coffee,38.0,30 - 39,35 - 39,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Housewife,Non-working,0,Major Chains,Routine Consumers
435874,Female,Nha Trang,2018,2.0,Other 1,Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),25.0,20 - 29,25 - 29,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Street,Social Seekers
435967,Female,Hà Nội,2018,4.0,Highlands Coffee,Highlands Coffee,Other 1,Highlands Coffee,31.0,30 - 39,30 - 34,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
435968,Male,Hà Nội,2018,3.0,Cộng Cà Phê,Cộng Cà Phê,Refuse,Cộng Cà Phê,23.0,20 - 29,20 - 24,< 4.5, 3  - 4.49  ,3749.0,Pupil / Student,Student,2,Major Chains,Experience Enthusiasts
435969,Male,Hà Nội,2018,2.0,Other 1,Other 1,Other 2,Other 1,58.0,40 - 60,45+,4.5 - 8.9, 7.5  - 8.99  ,8249.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Other,Routine Consumers
435970,Female,Hà Nội,2018,3.0,Highlands Coffee,Highlands Coffee,Refuse,Highlands Coffee,27.0,20 - 29,25 - 29,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
435971,Female,Hà Nội,2018,3.0,Other 1,Other 1,Refuse,Other 1,30.0,30 - 39,30 - 34,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
435972,Female,Hà Nội,2018,2.0,Other 1,Other 1,Other 3,Other 1,53.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,Housewife,Non-working,0,Other,Routine Consumers
435973,Female,Hà Nội,2018,2.0,Other 1,Other 1,Refuse,Other 1,52.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,Housewife,Non-working,0,Other,Routine Consumers
435974,Female,Hà Nội,2018,4.0,Other 1,Other 1,Other 2,Other 1,36.0,30 - 39,35 - 39,9 - 14.9, 9  - 11.99  ,10499.0,Broker/ Service provider with no employee,Self Employed,3,Other,Quality-First Consumers
435976,Female,Hà Nội,2018,2.0,The Coffee House,The Coffee House,Coffee Bean & Tea Leaf,The Coffee House,22.0,20 - 29,20 - 24,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Major Chains,Experience Enthusiasts
436002,Male,Hồ Chí Minh,2018,3.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),44.0,40 - 60,40 - 44,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Housewife,Non-working,0,Street,Routine Consumers
436076,Female,Hải Phòng,2018,4.0,Highlands Coffee,Other 1,Refuse,Highlands Coffee,31.0,30 - 39,30 - 34,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Broker/ Service provider with no employee,Self Employed,1,Major Chains,Social Seekers
436143,Female,Hồ Chí Minh,2018,4.0,Other 1,Other 1,Street / Half street coffee (including carts),Other 1,28.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Housewife,Non-working,1,Other,Social Seekers
436154,Female,Nha Trang,2018,3.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),34.0,30 - 39,30 - 34,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Housewife,Non-working,1,Street,Social Seekers
436159,Male,Nha Trang,2018,5.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),35.0,30 - 39,35 - 39,< 4.5, 3  - 4.49  ,3749.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,3,Street,Quality-First Consumers
436161,Female,Đà Nẵng,2018,3.0,The Coffee House,The Coffee House,Refuse,The Coffee House,34.0,30 - 39,30 - 34,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
436239,Male,Đà Nẵng,2018,2.0,Trung Nguyên,Other 2,Refuse,Trung Nguyên,38.0,30 - 39,35 - 39,4.5 - 8.9, 7.5  - 8.99  ,8249.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Major Chains,Social Seekers
436240,Female,Nha Trang,2018,3.0,Other 1,Other 1,Refuse,Other 1,21.0,20 - 29,20 - 24,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Housewife,Non-working,1,Other,Social Seekers
436258,Female,Hồ Chí Minh,2018,3.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),18.0,16 - 19,16 - 19,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Street,Social Seekers
436263,Female,Nha Trang,2018,5.0,Other 2,Other 2,Refuse,Other 2,34.0,30 - 39,30 - 34,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Semi-skilled labor (salesperson, waiter, photographer)",Service & Agriculture,1,Other,Social Seekers
436269,Male,Nha Trang,2018,2.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),38.0,30 - 39,35 - 39,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Housewife,Non-working,1,Street,Social Seekers
436315,Female,Nha Trang,2018,6.0,Other 1,Other 1,Refuse,Other 1,33.0,30 - 39,30 - 34,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Housewife,Non-working,1,Other,Social Seekers
436342,Male,Nha Trang,2018,3.0,Trung Nguyên,Milano,Refuse,Milano,28.0,20 - 29,25 - 29,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Broker/ Service provider with no employee,Self Employed,1,Other,Social Seekers
436351,Male,Hồ Chí Minh,2018,4.0,Other 1,Other 1,Refuse,Other 1,54.0,40 - 60,45+,25+, 15  - 19.99  ,17499.0,Broker/ Service provider with no employee,Self Employed,0,Other,Routine Consumers
436352,Female,Nha Trang,2018,2.0,Other 1,Other 1,Other 2,Other 1,29.0,20 - 29,25 - 29,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,1,Other,Social Seekers
436387,Male,Nha Trang,2018,2.0,Milano,Street / Half street coffee (including carts),Refuse,Trung Nguyên,24.0,20 - 29,20 - 24,9 - 14.9, 9  - 11.99  ,10499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,3,Major Chains,Quality-First Consumers
436392,Female,Nha Trang,2018,4.0,Other 1,Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),36.0,30 - 39,35 - 39,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Street,Social Seekers
436502,Female,Hồ Chí Minh,2018,2.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),38.0,30 - 39,35 - 39,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Housewife,Non-working,1,Street,Social Seekers
436514,Male,Hồ Chí Minh,2018,6.0,Other 1,Other 1,Street / Half street coffee (including carts),Other 1,48.0,40 - 60,45+,9 - 14.9, 12  - 14.99  ,13499.0,"Professional (doctor, engineer, architect, nursing staff, lawyer, researcher, etc.)",Professional,0,Other,Routine Consumers
436515,Female,Đà Nẵng,2018,3.0,Highlands Coffee,Highlands Coffee,Refuse,Highlands Coffee,25.0,20 - 29,25 - 29,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
436532,Female,Nha Trang,2018,5.0,Milano,Street / Half street coffee (including carts),Refuse,Milano,46.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,0,Other,Routine Consumers
436551,Female,Nha Trang,2018,3.0,Milano,Milano,Street / Half street coffee (including carts),Milano,41.0,40 - 60,40 - 44,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Broker/ Service provider with no employee,Self Employed,0,Other,Routine Consumers
436610,Female,Nha Trang,2018,4.0,Other 1,Other 1,Refuse,Other 1,46.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Housewife,Non-working,0,Other,Routine Consumers
436655,Female,Nha Trang,2018,6.0,Milano,Street / Half street coffee (including carts),Refuse,Milano,17.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
436686,Female,Hồ Chí Minh,2018,3.0,Other 1,Other 1,Refuse,Other 1,40.0,40 - 60,40 - 44,< 4.5, 3  - 4.49  ,3749.0,Housewife,Non-working,0,Other,Routine Consumers
436749,Female,Nha Trang,2018,4.0,Milano,Milano,Refuse,Milano,55.0,40 - 60,45+,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Housewife,Non-working,0,Other,Routine Consumers
436794,Female,Đà Nẵng,2018,3.0,Trung Nguyên,Other 1,Refuse,Trung Nguyên,37.0,30 - 39,35 - 39,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Major Chains,Social Seekers
