ID,Year,City,Awareness,Attribute,BrandImage
431627,2018,Hà Nội,The Coffee House,Good place for socializing with family,The Coffee House
801102,2019,Hà Nội,Cộng Cà Phê,Nice environment design,Cộng Cà Phê
823827,2019,Hà Nội,Trung Nguyên,Comfortable and relaxing environment,Trung Nguyên
140237,2017,Hà Nội,Cộng Cà Phê,Good place for socializing,Cộng Cà Phê
98285,2017,Cần Thơ,Indepedent Cafe,"Good other beverages (other than coffee, tea & ice-blended)",Indepedent Cafe
788783,2019,Hồ Chí Minh,Other,Good place for socializing with friends,Other
117357,2017,Hà Nội,Indepedent Cafe,Recommended by others,Indepedent Cafe
133100,2017,Hồ Chí Minh,Highlands Coffee,Good tea taste,Highlands Coffee
133570,2017,Đà Nẵng,Street / Half street coffee (including carts),Good place for socializing,Street / Half street coffee (including carts)
378875,2018,Hà Nội,Highlands Coffee,High speed of internet,Highlands Coffee
458932,2018,Hồ Chí Minh,Trung Nguyên,Friendly staff,Trung Nguyên
823684,2019,Hồ Chí Minh,Viva Star,Good tea taste,Viva Star
746013,2019,Đà Nẵng,Other,Clean,Other
379451,2018,Cần Thơ,Other 3,Good place for socializing with colleagues,Other 3
803459,2019,Cần Thơ,Other,Have new product regularly,Other
458096,2018,Hồ Chí Minh,Thức Coffee,Good place for relaxing,Thức Coffee
140673,2017,Hà Nội,Highlands Coffee,Friendly staff,Highlands Coffee
135375,2017,Hà Nội,Trung Nguyên,Feel I belong here,Trung Nguyên
786667,2019,Hồ Chí Minh,Highlands Coffee,"Good other beverages (other than coffee, tea & ice-blended)",Highlands Coffee
135302,2017,Hồ Chí Minh,Street / Half street coffee (including carts),Convenient location,Street / Half street coffee (including carts)
452650,2018,Hồ Chí Minh,Đen Đá,Comfortable and relaxing environment,Đen Đá
140715,2017,Hà Nội,The Coffee House,"Good other beverages (other than coffee, tea & ice-blended)",The Coffee House
442645,2018,Nha Trang,Other 1,Friendly staff,Other 1
419107,2018,Cần Thơ,Street / Half street coffee (including carts),Good coffee taste,Street / Half street coffee (including carts)
448243,2018,Hà Nội,Highlands Coffee,Friendly staff,Highlands Coffee
442253,2018,Hà Nội,Milano,Good value for money,Milano
803701,2019,Hà Nội,Highlands Coffee,Good place for working / business meeting,Highlands Coffee
127317,2017,Đà Nẵng,Street / Half street coffee (including carts),Convenient location,Street / Half street coffee (including carts)
381392,2018,Hà Nội,Urban Station,"Good other beverages (other than coffee, tea & ice-blended)",Urban Station
393333,2018,Cần Thơ,Other 3,Good place for working / business meeting,Other 3
748569,2019,Hồ Chí Minh,Passio,"Good other beverages (other than coffee, tea & ice-blended)",Passio
106725,2017,Hà Nội,Gong Cha,Good place for relaxing,Gong Cha
752715,2019,Đà Nẵng,Mê Trang,Recommended by others,Mê Trang
455004,2018,Hà Nội,Trung Nguyên,Good coffee taste,Trung Nguyên
133914,2017,Hồ Chí Minh,Highlands Coffee,"Good other beverages (other than coffee, tea & ice-blended)",Highlands Coffee
813948,2019,Hồ Chí Minh,Đen Đá,Good music,Đen Đá
116041,2017,Cần Thơ,Indepedent Cafe,Good tea taste,Indepedent Cafe
803687,2019,Đà Nẵng,Other,Comfortable and relaxing environment,Other
138980,2017,Hồ Chí Minh,Indepedent Cafe,"Good other beverages (other than coffee, tea & ice-blended)",Indepedent Cafe
124230,2017,Hồ Chí Minh,Street / Half street coffee (including carts),Good place for relaxing,Street / Half street coffee (including carts)
441002,2018,Hải Phòng,Highlands Coffee,Good place for socializing with friends,Highlands Coffee
415483,2018,Cần Thơ,Trung Nguyên,High speed of internet,Trung Nguyên
425777,2018,Đà Nẵng,Long Cafe,Trusted brand,Long Cafe
816116,2019,Đà Nẵng,Highlands Coffee,Good place for socializing with colleagues,Highlands Coffee
357093,2018,Cần Thơ,Other 1,Good coffee taste,Other 1
814329,2019,Nha Trang,Other,Feel I belong here,Other
137851,2017,Đà Nẵng,Indepedent Cafe,Comfortable and relaxing environment,Indepedent Cafe
439177,2018,Hà Nội,The Coffee House,High speed of internet,The Coffee House
138662,2017,Hà Nội,Passio,Good place for relaxing,Passio
139080,2017,Đà Nẵng,Highlands Coffee,Good place for socializing,Highlands Coffee
769207,2019,Hà Nội,Other,Comfortable and relaxing environment,Other
450529,2018,Đà Nẵng,Long Cafe,Trusted brand,Long Cafe
791962,2019,Hà Nội,Aha Cafe,Convenient location,Aha Cafe
93980,2017,Hồ Chí Minh,Indepedent Cafe,Good value for money,Indepedent Cafe
386527,2018,Cần Thơ,Other 3,High speed of internet,Other 3
140333,2017,Hà Nội,Indepedent Cafe,Comfortable and relaxing environment,Indepedent Cafe
109849,2017,Hồ Chí Minh,Highlands Coffee,Good place for working / studying,Highlands Coffee
417743,2018,Cần Thơ,Trung Nguyên,Good coffee taste,Trung Nguyên
135042,2017,Hải Phòng,Trung Nguyên,Good place for socializing,Trung Nguyên
392010,2018,Hà Nội,Trung Nguyên,Clean,Trung Nguyên
138996,2017,Hồ Chí Minh,Trung Nguyên,Feel I belong here,Trung Nguyên
826702,2019,Hà Nội,Phúc Long,Good place for working / business meeting,Phúc Long
134732,2017,Cần Thơ,Trung Nguyên,Good coffee taste,Trung Nguyên
441885,2018,Hải Phòng,Other 3,Feel I belong here,Other 3
451910,2018,Hà Nội,Aha Cafe,Good place for socializing with friends,Aha Cafe
446228,2018,Hà Nội,Other 1,Good place for relaxing,Other 1
429487,2018,Hải Phòng,Other 2,High speed of internet,Other 2
829315,2019,Đà Nẵng,Other,Comfortable and relaxing environment,Other
112196,2017,Hồ Chí Minh,Indepedent Cafe,Diversified menu,Indepedent Cafe
131562,2017,Hồ Chí Minh,Milano,Good value for money,Milano
815715,2019,Cần Thơ,Other,Clean,Other
459933,2018,Hà Nội,Milano,Good music,Milano
97076,2017,Hà Nội,Other Branded Cafe Chain,Clean,Other Branded Cafe Chain
411704,2018,Nha Trang,Milano,Convenient location,Milano
134487,2017,Hà Nội,Cộng Cà Phê,Clean,Cộng Cà Phê
440145,2018,Nha Trang,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee
780630,2019,Hải Phòng,Milano,Good place for socializing with family,Milano
90339,2017,Hồ Chí Minh,Phúc Long,Nice environment design,Phúc Long
415492,2018,Cần Thơ,Street / Half street coffee (including carts),Feel I belong here,Street / Half street coffee (including carts)
359883,2018,Hà Nội,The Coffee House,Nice environment design,The Coffee House
803092,2019,Hà Nội,Trung Nguyên,Friendly staff,Trung Nguyên
818178,2019,Hà Nội,Trung Nguyên,Clean,Trung Nguyên
127603,2017,Đà Nẵng,Street / Half street coffee (including carts),Convenient location,Street / Half street coffee (including carts)
409755,2018,Nha Trang,Milano,Comfortable and relaxing environment,Milano
125485,2017,Hải Phòng,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee
138772,2017,Hà Nội,Cộng Cà Phê,Good place for working / studying,Cộng Cà Phê
140697,2017,Hà Nội,Trung Nguyên,Good music,Trung Nguyên
444077,2018,Hà Nội,Urban Station,Clean,Urban Station
119548,2017,Hà Nội,Highlands Coffee,Friendly staff,Highlands Coffee
812697,2019,Nha Trang,Trung Nguyên,Good place for socializing with family,Trung Nguyên
136064,2017,Hồ Chí Minh,Trung Nguyên,"Good other beverages (other than coffee, tea & ice-blended)",Trung Nguyên
419638,2018,Nha Trang,Trung Nguyên,Nice environment design,Trung Nguyên
747246,2019,Hải Phòng,Other,Good place for socializing with friends,Other
138705,2017,Hà Nội,Urban Station,"Good other beverages (other than coffee, tea & ice-blended)",Urban Station
121593,2017,Hà Nội,Trung Nguyên,Feel I belong here,Trung Nguyên
818028,2019,Hà Nội,Other,Comfortable and relaxing environment,Other
139181,2017,Đà Nẵng,Trung Nguyên,Recommended by others,Trung Nguyên
455530,2018,Nha Trang,Other 2,Good place for working / business meeting,Other 2
140582,2017,Hà Nội,Passio,Clean,Passio
789631,2019,Hà Nội,Trung Nguyên,Popular brand,Trung Nguyên
833332,2019,Hồ Chí Minh,Cộng Cà Phê,Good coffee taste,Cộng Cà Phê
448946,2018,Hồ Chí Minh,Trung Nguyên,High speed of internet,Trung Nguyên
112010,2017,Hồ Chí Minh,Milano,Clean,Milano
123913,2017,Hồ Chí Minh,Indepedent Cafe,"Good other beverages (other than coffee, tea & ice-blended)",Indepedent Cafe
138694,2017,Hà Nội,Maxx Coffee,Quick speed of service,Maxx Coffee
134897,2017,Hải Phòng,Indepedent Cafe,Good value for money,Indepedent Cafe
740773,2019,Hồ Chí Minh,Highlands Coffee,Have new product regularly,Highlands Coffee
96601,2017,Hồ Chí Minh,Thức Coffee,Good value for money,Thức Coffee
132606,2017,Hồ Chí Minh,Street / Half street coffee (including carts),Clean,Street / Half street coffee (including carts)
431933,2018,Hà Nội,The Coffee House,Trusted brand,The Coffee House
451847,2018,Hà Nội,Cộng Cà Phê,Friendly staff,Cộng Cà Phê
451860,2018,Hồ Chí Minh,Other 1,Good place for socializing with colleagues,Other 1
445332,2018,Hồ Chí Minh,Street / Half street coffee (including carts),Good place for studying,Street / Half street coffee (including carts)
133483,2017,Hải Phòng,Highlands Coffee,Trusted brand,Highlands Coffee
112466,2017,Hải Phòng,Trung Nguyên,Comfortable and relaxing environment,Trung Nguyên
789789,2019,Hà Nội,The Coffee House,Trusted brand,The Coffee House
827410,2019,Hồ Chí Minh,Milano,Good ice-blended taste,Milano
731526,2019,Hà Nội,Cộng Cà Phê,Convenient location,Cộng Cà Phê
108599,2017,Hà Nội,Indepedent Cafe,Friendly staff,Indepedent Cafe
433837,2018,Nha Trang,Other 2,Popular brand,Other 2
420656,2018,Nha Trang,Highlands Coffee,Good coffee taste,Highlands Coffee
818028,2019,Hà Nội,Aha Cafe,Good music,Aha Cafe
445381,2018,Hải Phòng,Milano,Friendly staff,Milano
758332,2019,Hà Nội,Other,Good place for socializing with family,Other
134139,2017,Đà Nẵng,Indepedent Cafe,Recommended by others,Indepedent Cafe
369159,2018,Hồ Chí Minh,Highlands Coffee,Good value for money,Highlands Coffee
811880,2019,Hà Nội,Starbucks,Good ice-blended taste,Starbucks
797233,2019,Hà Nội,Cộng Cà Phê,"Good other beverages (other than coffee, tea & ice-blended)",Cộng Cà Phê
376083,2018,Cần Thơ,Other 1,Comfortable and relaxing environment,Other 1
435169,2018,Hà Nội,Highlands Coffee,Friendly staff,Highlands Coffee
120132,2017,Hà Nội,Trung Nguyên,Clean,Trung Nguyên
107623,2017,Hồ Chí Minh,Highlands Coffee,Good place for relaxing,Highlands Coffee
755669,2019,Đà Nẵng,Other,Good coffee taste,Other
121414,2017,Đà Nẵng,Trung Nguyên,Nice environment design,Trung Nguyên
432429,2018,Hồ Chí Minh,Highlands Coffee,Good coffee taste,Highlands Coffee
442832,2018,Hà Nội,Cộng Cà Phê,Good coffee taste,Cộng Cà Phê
387928,2018,Cần Thơ,Street / Half street coffee (including carts),Feel I belong here,Street / Half street coffee (including carts)
127354,2017,Đà Nẵng,Indepedent Cafe,Feel I belong here,Indepedent Cafe
830803,2019,Hồ Chí Minh,Other,Convenient location,Other
795508,2019,Cần Thơ,Passio,Good place for socializing with friends,Passio
391535,2018,Đà Nẵng,Highlands Coffee,Good coffee taste,Highlands Coffee
442249,2018,Hà Nội,Milano,Trusted brand,Milano
443720,2018,Hà Nội,Trung Nguyên,Good tea taste,Trung Nguyên
790515,2019,Hồ Chí Minh,Milano,Good place for studying,Milano
821745,2019,Hà Nội,Other,Friendly staff,Other
398812,2018,Hồ Chí Minh,Starbucks,Good place for socializing with colleagues,Starbucks
820014,2019,Hồ Chí Minh,Milano,Quick speed of service,Milano
402936,2018,Đà Nẵng,Street / Half street coffee (including carts),Quick speed of service,Street / Half street coffee (including carts)
431925,2018,Hà Nội,Street / Half street coffee (including carts),Good coffee taste,Street / Half street coffee (including carts)
818186,2019,Hồ Chí Minh,Highlands Coffee,Clean,Highlands Coffee
838742,2019,Hồ Chí Minh,Cộng Cà Phê,Good place for socializing with friends,Cộng Cà Phê
787127,2019,Hà Nội,Trung Nguyên,High speed of internet,Trung Nguyên
459661,2018,Hà Nội,Coffee Bean & Tea Leaf,High speed of internet,Coffee Bean & Tea Leaf
135256,2017,Cần Thơ,Trung Nguyên,Recommended by others,Trung Nguyên
779711,2019,Hà Nội,Trung Nguyên,Good tea taste,Trung Nguyên
358631,2018,Hà Nội,Other 2,Have new product regularly,Other 2
379336,2018,Đà Nẵng,Highlands Coffee,Friendly staff,Highlands Coffee
121639,2017,Hà Nội,Street / Half street coffee (including carts),High speed of internet,Street / Half street coffee (including carts)
818587,2019,Hà Nội,Other,Good coffee taste,Other
398380,2018,Hà Nội,The Coffee House,Trusted brand,The Coffee House
120167,2017,Hồ Chí Minh,Passio,Convenient location,Passio
406967,2018,Đà Nẵng,Other 1,Good place for socializing with friends,Other 1
412532,2018,Cần Thơ,Trung Nguyên,Good place for socializing with family,Trung Nguyên
433128,2018,Hồ Chí Minh,Other 1,Convenient location,Other 1
366595,2018,Đà Nẵng,Other 1,Good place for relaxing,Other 1
821441,2019,Hồ Chí Minh,Phúc Long,Quick speed of service,Phúc Long
382577,2018,Hà Nội,Trung Nguyên,Good place for socializing with colleagues,Trung Nguyên
139088,2017,Đà Nẵng,Trung Nguyên,Clean,Trung Nguyên
392018,2018,Hải Phòng,Starbucks,Good place for socializing with family,Starbucks
441230,2018,Cần Thơ,Other 1,Good place for studying,Other 1
416163,2018,Cần Thơ,Other 1,Good place for studying,Other 1
132607,2017,Hồ Chí Minh,Indepedent Cafe,Good tea taste,Indepedent Cafe
140254,2017,Hà Nội,Street / Half street coffee (including carts),Good coffee taste,Street / Half street coffee (including carts)
89963,2017,Hồ Chí Minh,Trung Nguyên,Recommended by others,Trung Nguyên
795238,2019,Hà Nội,Other,Good value for money,Other
138298,2017,Hồ Chí Minh,Starbucks,Good place for working / studying,Starbucks
364514,2018,Hà Nội,Trung Nguyên,Good tea taste,Trung Nguyên
444678,2018,Hà Nội,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee
753604,2019,Đà Nẵng,The Coffee House,Good coffee taste,The Coffee House
748393,2019,Hà Nội,Starbucks,"Good other beverages (other than coffee, tea & ice-blended)",Starbucks
108982,2017,Hà Nội,Cộng Cà Phê,Nice environment design,Cộng Cà Phê
810375,2019,Hải Phòng,Other,Good place for socializing with friends,Other
433699,2018,Hà Nội,The Coffee House,Clean,The Coffee House
802821,2019,Đà Nẵng,Trung Nguyên,Recommended by others,Trung Nguyên
135369,2017,Hà Nội,Maxx Coffee,Feel I belong here,Maxx Coffee
824770,2019,Hồ Chí Minh,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee
441961,2018,Hải Phòng,Trung Nguyên,Good place for working / business meeting,Trung Nguyên
809865,2019,Hải Phòng,Other,High speed of internet,Other
830601,2019,Hà Nội,Highlands Coffee,Good place for working / business meeting,Highlands Coffee
135008,2017,Hồ Chí Minh,Phúc Long,Trusted brand,Phúc Long
136434,2017,Hà Nội,Street / Half street coffee (including carts),"Good other beverages (other than coffee, tea & ice-blended)",Street / Half street coffee (including carts)
425931,2018,Hồ Chí Minh,Other 1,Good tea taste,Other 1
392023,2018,Hải Phòng,Highlands Coffee,Nice environment design,Highlands Coffee
834478,2019,Hồ Chí Minh,The Coffee House,Trusted brand,The Coffee House
398202,2018,Hồ Chí Minh,Passio,Good value for money,Passio
451871,2018,Hà Nội,Highlands Coffee,Good place for working / business meeting,Highlands Coffee
419245,2018,Hải Phòng,Highlands Coffee,Nice environment design,Highlands Coffee
121678,2017,Hà Nội,Trung Nguyên,Quick speed of service,Trung Nguyên
842752,2019,Hồ Chí Minh,Trung Nguyên,Feel I belong here,Trung Nguyên
777873,2019,Đà Nẵng,Other,Good place for relaxing,Other
800462,2019,Hải Phòng,Other,Good place for studying,Other
806256,2019,Cần Thơ,Trung Nguyên,Trusted brand,Trung Nguyên
803628,2019,Hà Nội,Cộng Cà Phê,Nice environment design,Cộng Cà Phê
759973,2019,Hồ Chí Minh,Trung Nguyên,Good music,Trung Nguyên
833571,2019,Hồ Chí Minh,The Coffee House,Quick speed of service,The Coffee House
431926,2018,Hà Nội,Cộng Cà Phê,Friendly staff,Cộng Cà Phê
412959,2018,Nha Trang,Other 2,Nice environment design,Other 2
135044,2017,Hải Phòng,Indepedent Cafe,Friendly staff,Indepedent Cafe
838008,2019,Hồ Chí Minh,Highlands Coffee,Good place for working / business meeting,Highlands Coffee
783439,2019,Hồ Chí Minh,Highlands Coffee,Good value for money,Highlands Coffee
448071,2018,Hà Nội,Highlands Coffee,Good music,Highlands Coffee
139918,2017,Hà Nội,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee
432427,2018,Hồ Chí Minh,Trung Nguyên,Good music,Trung Nguyên
421127,2018,Nha Trang,Other 1,Good place for relaxing,Other 1
451374,2018,Nha Trang,Other 1,Friendly staff,Other 1
117922,2017,Hồ Chí Minh,Effoc,Recommended by others,Effoc
135048,2017,Hải Phòng,Indepedent Cafe,Good place for working / studying,Indepedent Cafe
729274,2019,Hải Phòng,Milano,"Good other beverages (other than coffee, tea & ice-blended)",Milano
359941,2018,Hà Nội,Highlands Coffee,Good coffee taste,Highlands Coffee
789380,2019,Hà Nội,Highlands Coffee,Good tea taste,Highlands Coffee
821087,2019,Hồ Chí Minh,Thức Coffee,Friendly staff,Thức Coffee
840198,2019,Hồ Chí Minh,Street,Good coffee taste,Street
123862,2017,Đà Nẵng,Street / Half street coffee (including carts),Quick speed of service,Street / Half street coffee (including carts)
851829,2019,Đà Nẵng,Nia cafe,Good tea taste,Nia cafe
379615,2018,Đà Nẵng,The Coffee House,Trusted brand,The Coffee House
824763,2019,Hồ Chí Minh,Passio,Good place for relaxing,Passio
452487,2018,Đà Nẵng,Highlands Coffee,Good place for studying,Highlands Coffee
381312,2018,Hà Nội,Cộng Cà Phê,Clean,Cộng Cà Phê
410852,2018,Hà Nội,Highlands Coffee,High speed of internet,Highlands Coffee
800503,2019,Đà Nẵng,The Coffee House,Clean,The Coffee House
134966,2017,Hà Nội,Other Branded Cafe Chain,Good music,Other Branded Cafe Chain
770975,2019,Cần Thơ,Highlands Coffee,Nice environment design,Highlands Coffee
838945,2019,Hồ Chí Minh,Highlands Coffee,Clean,Highlands Coffee
457290,2018,Hồ Chí Minh,Thức Coffee,Good place for studying,Thức Coffee
442569,2018,Hồ Chí Minh,Cộng Cà Phê,Have new product regularly,Cộng Cà Phê
434898,2018,Hải Phòng,Trung Nguyên,Quick speed of service,Trung Nguyên
91489,2017,Hồ Chí Minh,Urban Station,Recommended by others,Urban Station
349532,2018,Hồ Chí Minh,Highlands Coffee,Quick speed of service,Highlands Coffee
759414,2019,Hải Phòng,Starbucks,Convenient location,Starbucks
93982,2017,Hồ Chí Minh,Gong Cha,Good place for relaxing,Gong Cha
93066,2017,Hồ Chí Minh,Trung Nguyên,Good tea taste,Trung Nguyên
134005,2017,Hồ Chí Minh,Street / Half street coffee (including carts),"Good other beverages (other than coffee, tea & ice-blended)",Street / Half street coffee (including carts)
121485,2017,Hà Nội,Street / Half street coffee (including carts),High speed of internet,Street / Half street coffee (including carts)
855212,2019,Hồ Chí Minh,Starbucks,Have new product regularly,Starbucks
446305,2018,Hà Nội,Trung Nguyên,Quick speed of service,Trung Nguyên
140745,2017,Hà Nội,Passio,Good music,Passio
454788,2018,Đà Nẵng,Other 2,Convenient location,Other 2
807190,2019,Nha Trang,Trung Nguyên,Good ice-blended taste,Trung Nguyên
831922,2019,Hồ Chí Minh,Other,Comfortable and relaxing environment,Other
392406,2018,Hồ Chí Minh,Street / Half street coffee (including carts),Good coffee taste,Street / Half street coffee (including carts)
369145,2018,Hồ Chí Minh,Highlands Coffee,Recommended by others,Highlands Coffee
811683,2019,Hà Nội,Cộng Cà Phê,Good place for socializing with family,Cộng Cà Phê
140735,2017,Hà Nội,The Coffee House,High speed of internet,The Coffee House
140317,2017,Hà Nội,Trung Nguyên,"Good other beverages (other than coffee, tea & ice-blended)",Trung Nguyên
824257,2019,Hà Nội,The Coffee House,Quick speed of service,The Coffee House
135590,2017,Đà Nẵng,Highlands Coffee,Good place for relaxing,Highlands Coffee
138994,2017,Hồ Chí Minh,Phúc Long,Diversified menu,Phúc Long
794521,2019,Hà Nội,Street,Good place for relaxing,Street
794171,2019,Hà Nội,Trung Nguyên,Good place for working / business meeting,Trung Nguyên
121485,2017,Hà Nội,Indepedent Cafe,Feel I belong here,Indepedent Cafe
368246,2018,Hà Nội,Starbucks,Feel I belong here,Starbucks
789781,2019,Đà Nẵng,Street,Good coffee taste,Street
416455,2018,Hải Phòng,Milano,Good coffee taste,Milano
111440,2017,Hải Phòng,Indepedent Cafe,Friendly staff,Indepedent Cafe
402817,2018,Hồ Chí Minh,Highlands Coffee,Clean,Highlands Coffee
359183,2018,Cần Thơ,Other 1,Good music,Other 1
391987,2018,Hải Phòng,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee
836412,2019,Hồ Chí Minh,Starbucks,High speed of internet,Starbucks
443798,2018,Hồ Chí Minh,Street / Half street coffee (including carts),Convenient location,Street / Half street coffee (including carts)
451906,2018,Hà Nội,Passio,Nice environment design,Passio
121020,2017,Đà Nẵng,Cộng Cà Phê,Good tea taste,Cộng Cà Phê
360089,2018,Đà Nẵng,The Coffee House,Clean,The Coffee House
444463,2018,Hà Nội,Urban Station,"Good other beverages (other than coffee, tea & ice-blended)",Urban Station
134470,2017,Cần Thơ,Indepedent Cafe,Diversified menu,Indepedent Cafe
417743,2018,Cần Thơ,Trung Nguyên,High speed of internet,Trung Nguyên
824953,2019,Hồ Chí Minh,Đen Đá,Recommended by others,Đen Đá
132283,2017,Đà Nẵng,Indepedent Cafe,"Good other beverages (other than coffee, tea & ice-blended)",Indepedent Cafe
109259,2017,Hải Phòng,Milano,Recommended by others,Milano
93392,2017,Hồ Chí Minh,Street / Half street coffee (including carts),Comfortable and relaxing environment,Street / Half street coffee (including carts)
443564,2018,Hà Nội,Aha Cafe,Good place for socializing with family,Aha Cafe
372860,2018,Hải Phòng,Milano,Convenient location,Milano
794818,2019,Hà Nội,Aha Cafe,Recommended by others,Aha Cafe
438818,2018,Hồ Chí Minh,The Coffee House,Nice environment design,The Coffee House
410856,2018,Hà Nội,Passio,Good place for socializing with colleagues,Passio
138664,2017,Hà Nội,Passio,Good value for money,Passio
382231,2018,Nha Trang,Other 2,Good tea taste,Other 2
134898,2017,Hải Phòng,Highlands Coffee,Quick speed of service,Highlands Coffee
137857,2017,Đà Nẵng,Indepedent Cafe,Friendly staff,Indepedent Cafe
132487,2017,Hồ Chí Minh,Trung Nguyên,Nice environment design,Trung Nguyên
412272,2018,Hồ Chí Minh,Phúc Long,"Good other beverages (other than coffee, tea & ice-blended)",Phúc Long
451390,2018,Hồ Chí Minh,Trung Nguyên,Popular brand,Trung Nguyên
733754,2019,Hồ Chí Minh,Highlands Coffee,Good value for money,Highlands Coffee
97474,2017,Hà Nội,Street / Half street coffee (including carts),High speed of internet,Street / Half street coffee (including carts)
371062,2018,Hồ Chí Minh,Street / Half street coffee (including carts),Clean,Street / Half street coffee (including carts)
381390,2018,Hà Nội,Urban Station,Clean,Urban Station
390427,2018,Nha Trang,Trung Nguyên,Friendly staff,Trung Nguyên
460215,2018,Đà Nẵng,Highlands Coffee,Convenient location,Highlands Coffee
440517,2018,Hà Nội,Passio,Feel I belong here,Passio
431931,2018,Hà Nội,Highlands Coffee,High speed of internet,Highlands Coffee
363631,2018,Cần Thơ,Street / Half street coffee (including carts),Comfortable and relaxing environment,Street / Half street coffee (including carts)
407567,2018,Hà Nội,Other 1,Good music,Other 1
790990,2019,Hồ Chí Minh,Highlands Coffee,Trusted brand,Highlands Coffee
837764,2019,Hồ Chí Minh,The Coffee House,Good place for studying,The Coffee House
97512,2017,Hà Nội,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee
807655,2019,Đà Nẵng,Street,Good place for socializing with family,Street
816477,2019,Hà Nội,Starbucks,Nice environment design,Starbucks
725076,2019,Hải Phòng,Highlands Coffee,Good music,Highlands Coffee
820073,2019,Hà Nội,Starbucks,Convenient location,Starbucks
791541,2019,Cần Thơ,Milano,Comfortable and relaxing environment,Milano
448487,2018,Đà Nẵng,Other 3,Friendly staff,Other 3
392024,2018,Hải Phòng,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee
134446,2017,Hải Phòng,Other Branded Cafe Chain,High speed of internet,Other Branded Cafe Chain
831775,2019,Hà Nội,The Coffee House,Quick speed of service,The Coffee House
93207,2017,Hồ Chí Minh,Coffee Bean & Tea Leaf,Trusted brand,Coffee Bean & Tea Leaf
416167,2018,Cần Thơ,Street / Half street coffee (including carts),Quick speed of service,Street / Half street coffee (including carts)
741676,2019,Hồ Chí Minh,Other,Good coffee taste,Other
833440,2019,Hồ Chí Minh,Phúc Long,Popular brand,Phúc Long
391111,2018,Hồ Chí Minh,Urban Station,Comfortable and relaxing environment,Urban Station
138169,2017,Đà Nẵng,Highlands Coffee,"Good other beverages (other than coffee, tea & ice-blended)",Highlands Coffee
138616,2017,Hà Nội,Milano,Good place for relaxing,Milano
413566,2018,Nha Trang,Other 2,Trusted brand,Other 2
94870,2017,Hồ Chí Minh,Trung Nguyên,Diversified menu,Trung Nguyên
446524,2018,Đà Nẵng,Other 1,Clean,Other 1
411314,2018,Hà Nội,Cộng Cà Phê,Popular brand,Cộng Cà Phê
786028,2019,Hà Nội,Cộng Cà Phê,Feel I belong here,Cộng Cà Phê
98509,2017,Cần Thơ,Indepedent Cafe,Clean,Indepedent Cafe
138381,2017,Hồ Chí Minh,The Coffee House,Clean,The Coffee House
455068,2018,Hà Nội,Trung Nguyên,Good place for socializing with colleagues,Trung Nguyên
800589,2019,Hồ Chí Minh,Phúc Long,Good value for money,Phúc Long
364514,2018,Hà Nội,Trung Nguyên,Good place for studying,Trung Nguyên
140346,2017,Hà Nội,Maxx Coffee,Quick speed of service,Maxx Coffee
404429,2018,Đà Nẵng,Highlands Coffee,Nice environment design,Highlands Coffee
768033,2019,Đà Nẵng,Other,Good coffee taste,Other
119005,2017,Cần Thơ,Indepedent Cafe,Comfortable and relaxing environment,Indepedent Cafe
135507,2017,Đà Nẵng,Indepedent Cafe,Recommended by others,Indepedent Cafe
138676,2017,Hà Nội,Indepedent Cafe,High speed of internet,Indepedent Cafe
734438,2019,Hà Nội,Street,Good place for working / business meeting,Street
123570,2017,Đà Nẵng,Trung Nguyên,Good value for money,Trung Nguyên
120254,2017,Cần Thơ,Other Branded Cafe Chain,"Good other beverages (other than coffee, tea & ice-blended)",Other Branded Cafe Chain
138741,2017,Hồ Chí Minh,Trung Nguyên,Nice environment design,Trung Nguyên
138103,2017,Hà Nội,Highlands Coffee,Diversified menu,Highlands Coffee
817993,2019,Hà Nội,Cộng Cà Phê,Good place for socializing with friends,Cộng Cà Phê
833419,2019,Cần Thơ,Street,Quick speed of service,Street
402807,2018,Đà Nẵng,Highlands Coffee,Good value for money,Highlands Coffee
802231,2019,Nha Trang,Trung Nguyên,Quick speed of service,Trung Nguyên
135013,2017,Hà Nội,Highlands Coffee,Good place for relaxing,Highlands Coffee
845967,2019,Hải Phòng,Other,Good coffee taste,Other
138724,2017,Đà Nẵng,Street / Half street coffee (including carts),Recommended by others,Street / Half street coffee (including carts)
121574,2017,Hà Nội,Starbucks,Good coffee taste,Starbucks
801100,2019,Hà Nội,Trung Nguyên,Good coffee taste,Trung Nguyên
100130,2017,Hà Nội,Indepedent Cafe,Good value for money,Indepedent Cafe
441976,2018,Cần Thơ,Other 1,Good place for working / business meeting,Other 1
824946,2019,Hải Phòng,Other,Clean,Other
450828,2018,Hải Phòng,Other 2,Feel I belong here,Other 2
441941,2018,Hải Phòng,Highlands Coffee,Good place for relaxing,Highlands Coffee
840662,2019,Hồ Chí Minh,Starbucks,Good place for socializing with family,Starbucks
